Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total Tests,Population
Croatia,"1,211,419",+988,"16,646 ",+7,"1,188,320","+1,449","6,453",21,"5,129,061","4,050,974 "
Lebanon,"1,207,385",,"10,617 ",,"1,087,587",,"109,181",186,"4,795,578","6,759,888 "
Tunisia,"1,143,167",,"29,233 ",,N/A,N/A,N/A,99,"4,912,141","12,084,054 "
Slovenia,"1,121,965","+1,522","6,774 ",+3,"1,096,290","+1,587","18,901",16,"2,719,793","2,079,551 "
Cuba,"1,110,277",,"8,530 ",,"1,101,444",,303,23,"14,064,773","11,311,784 "
Lithuania,"1,108,937",+731,"9,280 ",+4,"1,072,770","+1,100","26,887",9,"10,109,248","2,640,877 "
Bolivia,"1,098,027",,"22,186 ",,"1,021,544",,"54,297",220,"2,705,422","12,014,808 "
Guatemala,"1,094,572",,"19,424 ",,"1,064,313",,"10,835",5,"5,612,778","18,626,974 "
Costa Rica,"1,049,554",,"8,836 ",,"860,711",,"180,007",52,"4,659,757","5,193,958 "
UAE,"1,013,331",+545,"2,341 ",,"992,016",+657,"18,974",,"183,178,842","10,146,899 "
Nepal,"996,670",+65,"11,999 ",,"981,059",+396,"3,612",,"5,882,671","30,261,752 "
Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"13,646,641","9,442,655 "
Ecuador,"993,858",,"35,830 ",,"946,616",,"11,412",759,"3,082,403","18,218,133 "
Uruguay,"977,305",,"7,438 ",,"968,169",,"1,698",18,"6,114,822","3,499,563 "
Mongolia,"976,751",,"2,179 ",,"964,244",,"10,328",192,"4,030,048","3,391,614 "
Panama,"972,800",,"8,456 ",,"956,205",,"8,139",16,"6,898,460","4,460,567 "
Latvia,"895,513",,"5,937 ",,"873,573",,"16,003",6,"7,519,903","1,841,492 "
Saudi Arabia,"813,107",+65,"9,288 ",+1,"800,300",+79,"3,519",42,"44,092,371","35,977,688 "
Azerbaijan,"810,589",,"9,795 ",,"797,167",,"3,627",,"7,135,151","10,335,325 "
Paraguay,"715,162",,"19,478 ",,"693,283",,"2,401",7,"2,657,506","7,320,597 "
Bahrain,"670,717",,"1,513 ",,"667,255",,"1,949",1,"10,263,281","1,828,561 "
Sri Lanka,"669,639",,"16,679 ",,"652,242",,718,,"6,486,117","21,605,915 "
Kuwait,"657,042",,"2,563 ",,"654,002",,477,3,"8,329,462","4,406,141 "
Dominican Republic,"637,573",,"4,384  ",,"632,073",,"1,116",19,"3,627,612","11,081,397 "
Palestine,"619,519",,"5,396 ",,"600,498",,"13,625",17,"3,078,533","5,355,988 "
Myanmar,"614,573",,"19,437 ",,"593,389",,"1,747",,"8,706,582","55,192,609 "
Estonia,"596,653",,"2,647 ",,"524,990",,"69,016",5,"3,494,898","1,328,449 "
Cyprus,"574,124",,"1,152 ",,"567,231",+782,"5,741",60,"9,572,310","1,226,222 "
Moldova,"569,088",,"11,725 ",,"504,142",,"53,221",49,"3,216,305","4,013,851 "
Venezuela,"542,039",,"5,794 ",,"534,184",,"2,061",36,"3,359,014","28,263,114 "
Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"3,693,367","106,477,664 "
Libya,"506,746",,"6,436 ",,"499,918",,392,101,"2,479,176","7,071,856 "
Ethiopia,"493,132",,"7,571 ",,"471,510",,"14,051",13,"5,195,307","121,076,725 "
Réunion,"456,141",,861 ,,"418,572",,"36,708",10,"1,603,660","909,025 "
Honduras,"452,305",,"10,972 ",,N/A,N/A,N/A,105,"1,494,003","10,242,755 "
Armenia,"432,274",,"8,648 ",,"412,661",,"10,965",,"3,109,931","2,975,127 "
Qatar,"427,001",+415,681 ,,"421,894",+510,"4,426",2,"3,852,180","2,807,805 "
Oman,"397,846",,"4,260 ",,"384,669",,"8,917",2,"25,000,000","5,385,432 "
Bosnia and Herzegovina,"395,086",,"16,026 ",,N/A,N/A,N/A,,"1,840,807","3,237,055 "
North Macedonia,"339,492",,"9,473 ",,"327,780",,"2,239",,"2,116,200","2,083,190 "
Kenya,"338,105",,"5,673 ",,"332,293",,139,1,"3,850,723","56,313,891 "
Zambia,"332,710",,"4,016 ",,"328,080",,614,,"3,691,573","19,489,245 "
Albania,"327,961",,"3,580 ",,"319,483",,"4,898",,"1,941,032","2,871,056 "
Botswana,"325,864",,"2,778 ",,"322,955",,131,1,"2,026,898","2,453,554 "
Luxembourg,"284,931",,"1,114 ",,"275,850",,"7,967",,"4,381,286","647,839 "
Montenegro,"274,491",,"2,770 ",,"268,439",,"3,282",6,"2,592,491","628,237 "
Algeria,"270,145",,"6,878 ",,"181,735",,"81,532",6,"230,861","45,550,814 "
Nigeria,"263,322",,"3,148 ",,"257,253",,"2,921",11,"5,441,162","217,107,604 "
Zimbabwe,"256,682",,"5,593 ",,"250,929",,160,12,"2,476,468","15,327,355 "
Uzbekistan,"243,666",,"1,637 ",,"241,486",,543,23,"1,377,915","34,510,402 "
Mozambique,"230,053",,"2,219 ",,"227,620",,214,11,"1,371,127","33,135,313 "
Brunei ,"220,245",,225 ,,"214,639",,"5,381",3,"717,784","446,470 "
Martinique,"218,009",,"1,035 ",,N/A,N/A,N/A,8,"828,928","374,641 "
Laos,"213,738",+47,757 ,,N/A,N/A,N/A,,"1,233,207","7,502,181 "
Kyrgyzstan,"205,537",,"2,991 ",,"196,406",,"6,140",131,"1,907,195","6,755,252 "
Iceland,"204,268",,179 ,,N/A,N/A,N/A,2,"1,993,053","345,996 "
Afghanistan,"191,967",,"7,771 ",,"170,813",,"13,383","1,124","1,061,603","40,810,363 "
El Salvador,"190,818",,"4,221 ",,"172,310",,"14,287",8,"2,456,913","6,556,438 "
Guadeloupe,"190,054",,978 ,,N/A,N/A,N/A,19,"938,039","400,271 "
Maldives,"184,788",,307 ,,"163,687",,"20,794",25,"2,213,831","560,980 "
Trinidad and Tobago,"178,111",,"4,123 ",,"167,638",,"6,350",18,"815,582","1,409,212 "
Uganda,"169,396",,"3,628 ",,"100,431",,"65,337",3,"3,012,408","48,842,276 "
Namibia,"169,253",,"4,065 ",,"164,813",,375,,"1,062,663","2,639,683 "
Ghana,"168,565",,"1,459 ",,"167,020",,86,2,"2,496,486","32,465,295 "
Jamaica,"149,327",,"3,241 ",,"96,159",,"49,927",,"1,166,391","2,988,902 "
Cambodia,"137,538",+19,"3,056 ",,"134,321",+28,161,,"3,039,029","17,215,631 "
Rwanda,"132,412",,"1,466 ",,"130,803",,143,,"5,735,741","13,641,465 "
Cameroon,"121,652",,"1,935 ",,"118,616",,"1,101",13,"1,751,774","27,964,391 "
Malta,"113,972",+21,801 ,+1,"112,621",+36,550,4,"2,040,953","444,066 "
Angola,"102,636",,"1,917 ",,"100,437",,282,,"1,499,795","35,061,149 "
Barbados,"100,526",,537 ,,"97,831",,"2,158",,"752,466","288,130 "
French Guiana,"93,586",,408 ,,"11,254",,"81,924",3,"650,106","315,302 "
DRC,"92,634",,"1,400 ",,"83,504",,"7,730",,"846,704","95,406,928 "
Channel Islands,"89,541",,198 ,,"88,958",,385,,"1,252,808","177,303 "
Senegal,"88,024",+16,"1,968 ",,"85,914",+25,142,,"1,146,543","17,691,158 "
Malawi,"87,828",,"2,676 ",,"84,919",,233,67,"609,390","20,191,138 "
Ivory Coast,"86,577",,817 ,,"85,706",,54,,"1,605,450","27,780,516 "
Suriname,"81,022",,"1,383 ",,"49,608",,"30,031",,"238,818","597,913 "
French Polynesia,"76,415",,649 ,,N/A,N/A,N/A,7,,"284,393 "
New Caledonia,"73,497",,314 ,,"72,481",,702,9,"98,964","291,389 "
Eswatini,"73,358",,"1,422 ",,"71,912",,24,11,"1,043,401","1,185,947 "
Guyana,"70,943",,"1,278 ",,"69,376",,289,,"686,578","794,697 "
Belize,"68,187",,680 ,,"67,270",,237,6,"576,016","413,123 "
Fiji,"68,116",,877 ,,"66,135",,"1,104",,"642,816","910,386 "
Madagascar,"66,615",,"1,410 ",,"65,048",,157,2,"510,102","29,219,233 "
Sudan,"63,173",,"4,961 ",,N/A,N/A,N/A,,"562,941","46,047,068 "
Mauritania,"62,756",,992 ,,"61,711",,53,,"943,019","4,912,027 "
Cabo Verde,"62,306",,410 ,,"61,821",,75,23,"401,622","568,949 "
Bhutan,"60,898",,21 ,,"60,818",,59,,"2,303,734","789,845 "
Syria,"56,969",,"3,163 ",,"53,225",,581,,"146,269","18,413,295 "
Burundi,"49,063",,38 ,,"45,547",,"3,478",,"345,742","12,651,066 "
Gabon,"48,635",,306 ,,"47,925",,404,,"1,612,572","2,338,475 "
Andorra,"46,027",,154 ,,"45,791",,82,14,"249,838","77,530 "
Seychelles,"45,852",,168 ,,"45,516",,168,,,"99,654 "
Curaçao,"45,127",,282 ,,"44,720",,125,3,"496,693","165,533 "
Papua New Guinea,"44,876",,664 ,,"43,982",,230,7,"249,149","9,310,837 "
Aruba,"42,696",,226 ,,"42,216",,254,2,"177,885","107,739 "
Mauritius,"40,178",,"1,022 ",,"38,454",,702,,"358,675","1,276,296 "
Mayotte,"40,004",,187 ,,N/A,N/A,N/A,,"176,919","286,945 "
Tanzania,"38,712",,841 ,,N/A,N/A,N/A,7,,"63,386,855 "
Togo,"38,410",,282 ,,"38,030",,98,,"782,611","8,695,247 "
Isle of Man,"38,008",,116 ,,N/A,N/A,N/A,,"150,753","85,999 "
Guinea,"37,470",,447 ,,"36,763",,260,8,"660,107","13,897,520 "
Bahamas,"37,044",,823 ,,"35,819",,402,,"248,846","401,309 "
Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"778,000","49,261 "
Lesotho,"34,206",,704 ,,"25,740",,"7,762",,"431,221","2,178,697 "
Haiti,"33,133",,841 ,,"30,405",,"1,887",,"132,422","11,700,892 "
Mali,"31,302",,739 ,,"30,439",,124,,"736,238","21,503,031 "
Cayman Islands,"30,057",,29 ,,"8,553",,"21,475",1,"222,773","67,379 "
Saint Lucia,"28,621",,389 ,,"28,075",,157,,"209,716","185,428 "
Benin,"27,316",,163 ,,"27,112",,41,5,"604,310","12,804,876 "
Somalia,"27,020",,"1,350 ",,"13,182",,"12,488",,"400,466","16,845,123 "
Congo,"24,837",,386 ,,"24,006",,445,,"347,815","5,809,658 "
Timor-Leste,"23,152",,137 ,,"22,970",,45,,"275,438","1,372,350 "
Solomon Islands,"21,544",,153 ,,"16,357",,"5,034",1,"5,117","723,044 "
Burkina Faso,"21,128",,387 ,,"20,632",,109,,"248,995","22,133,773 "
San Marino,"20,323",,118 ,,"20,086",,119,4,"157,634","34,084 "
Gibraltar,"20,049",,107 ,,"16,579",,"3,363",,"534,283","33,669 "
Grenada,"19,268",,236 ,,"18,771",,261,4,"177,193","113,642 "
Liechtenstein,"19,086",,86 ,,"18,901",,99,2,"102,174","38,363 "
Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,,"6,793,728 "
South Sudan,"17,823",,138 ,,"17,335",,350,1,"410,280","11,475,416 "
Tajikistan,"17,786",,125 ,,"17,264",,397,,,"9,997,512 "
Bermuda,"17,785",,148 ,,"17,516",,121,,"983,456","61,784 "
Equatorial Guinea,"16,945",,183  ,,"16,595",,167,5,"365,697","1,501,943 "
Samoa,"15,767",,29 ,,"1,605",,"14,133",4,"187,397","201,243 "
Djibouti,"15,690",,189 ,,"15,427",,74,,"305,941","1,018,841 "
Tonga,"15,235",,12 ,,"14,317",,906,,"535,009","108,266 "
CAR,"14,862",,113 ,,"14,520",,229,2,"81,294","5,010,024 "
Dominica,"14,852",,68 ,,"14,554",,230,,"210,195","72,370 "
Marshall Islands,"14,506",,16 ,,"7,383",,"7,107",22,,"60,047 "
Monaco,"14,363",,57 ,,"14,256",,50,4,"77,770","39,839 "
Gambia,"12,311",,371 ,,"11,788",,152,,"155,686","2,562,421 "
Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"164,926","56,981 "
Yemen,"11,922",,"2,155 ",,"9,119",,648,23,"329,592","31,236,105 "
Saint Martin,"11,857",,63 ,,"1,399",,"10,395",7,"112,382","40,081 "
Vanuatu,"11,777",,14 ,,"11,748",,15,,"24,976","322,552 "
Caribbean Netherlands,"11,028",,35 ,,"10,476",,517,,"30,126","26,746 "
Sint Maarten,"10,826",,87 ,,"10,723",,16,10,"62,056","43,921 "
Eritrea,"10,151",,103 ,,"10,046",,2,,"23,693","3,651,779 "
Niger,"9,263",,312 ,,"8,847",,104,1,"254,538","26,087,979 "
Antigua and Barbuda,"8,949",,145 ,,"8,751",,53,1,"18,901","99,669 "
Guinea-Bissau,"8,482",,174 ,,"8,287",,21,6,"145,231","2,067,852 "
Comoros,"8,445",,161 ,,"8,259",,25,,,"909,366 "
Sierra Leone,"7,744",,126 ,,N/A,N/A,N/A,,"259,958","8,325,210 "
Liberia,"7,732",,294 ,,"7,260",,178,2,"139,824","5,312,868 "
Chad,"7,491",,193 ,,"4,874",,"2,424",,"191,341","17,437,735 "
Micronesia,"7,202",,21 ,,134,,"7,047",8,"21,923","117,611 "
British Virgin Islands,"7,131",,63 ,,N/A,N/A,N/A,1,"105,790","30,663 "
St. Vincent Grenadines,"7,108",,115 ,,"6,641",,352,,"100,856","111,696 "
Saint Kitts and Nevis,"6,493",,46 ,,"6,431",,16,,"124,861","54,007 "
Turks and Caicos,"6,359",,36 ,,"6,285",,38,4,"549,718","39,841 "
Cook Islands,"6,265",,1 ,,"6,176",,88,,"19,690","17,599 "
Sao Tome and Principe,"6,136",,76 ,,"6,047",,13,,"29,036","227,895 "
Palau,"5,348",,6 ,,"5,265",,77,1,"64,027","18,279 "
St. Barth,"5,208",,6 ,,N/A,N/A,N/A,,"78,646","9,942 "
Nauru,"4,611",,1 ,,"4,605",,5,,"20,509","10,970 "
Anguilla,"3,805",,10 ,,"3,754",,41,4,"51,382","15,290 "
Kiribati,"3,430",,13 ,,"2,703",,714,3,,"123,383 "
Saint Pierre Miquelon,"3,131",,1 ,,"2,449",,681,1,"24,902","5,733 "
Falkland Islands,"1,881",, ,,N/A,N/A,N/A,,"8,632","3,698 "
Montserrat,"1,120",,8 ,,"1,094",,18,,"16,050","4,998 "
Macao,793,,6 ,,785,,2,,"7,850","668,335 "
Wallis and Futuna,761,,7 ,,438,,316,,"20,508","10,817 "
Diamond Princess,712,,13 ,,699,,0,,, 
Niue,65,+5, ,,60,,5,,,"1,650 "
Vatican City,29,, ,,29,,0,,,805 
Western Sahara,10,,1 ,,9,,0,,,"628,866 "
MS Zaandam,9,,2 ,,7,,0,,, 
Tuvalu,8,, ,,,,8,,,"12,104 "
Saint Helena,7,, ,,2,,5,,,"6,116 "
China,"241,648",+300,"5,226 ",,"229,165",+691,"7,257",34,"160,000,000","1,439,323,776 "
